;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:36;346;26/06/2017 19:36;379;26/06/2017 19:36;326;26/06/2017 19:37;377;;26/06/2017 19:36;0,16930199;26/06/2017 19:36;0,155181888;26/06/2017 19:36;0,178530906;26/06/2017 19:37;0,156001996;0,160161958
26/06/2017 19:36;346;26/06/2017 19:36;376;26/06/2017 19:36;328;26/06/2017 19:37;377;;26/06/2017 19:36;0,16930199;26/06/2017 19:36;0,156413683;26/06/2017 19:36;0,177582891;26/06/2017 19:37;0,156001996;0,160572556
26/06/2017 19:36;348;26/06/2017 19:36;374;26/06/2017 19:37;327;26/06/2017 19:37;393;;26/06/2017 19:36;0,168408616;26/06/2017 19:36;0,157240351;26/06/2017 19:37;0,178056174;26/06/2017 19:37;0,14955951;0,158402826
26/06/2017 19:37;349;26/06/2017 19:36;373;26/06/2017 19:37;326;26/06/2017 19:37;410;;26/06/2017 19:37;0,167963852;26/06/2017 19:36;0,157655345;26/06/2017 19:37;0,178530906;26/06/2017 19:37;0,14299564;0,156204946
26/06/2017 19:37;347;26/06/2017 19:36;375;26/06/2017 19:37;324;26/06/2017 19:37;393;;26/06/2017 19:37;0,168854659;26/06/2017 19:36;0,156826466;26/06/2017 19:37;0,179484755;26/06/2017 19:37;0,14955951;0,158413545
26/06/2017 19:37;346;26/06/2017 19:37;375;26/06/2017 19:37;1000;26/06/2017 19:37;393;;26/06/2017 19:37;0,16930199;26/06/2017 19:37;0,156826466;26/06/2017 19:37;0,004797932;26/06/2017 19:37;0,14955951;0,158562655
26/06/2017 19:37;349;26/06/2017 19:37;374;26/06/2017 19:37;608;26/06/2017 19:37;392;;26/06/2017 19:37;0,167963852;26/06/2017 19:37;0,157240351;26/06/2017 19:37;0,081922893;26/06/2017 19:37;0,149954415;0,158386206
26/06/2017 19:37;373;26/06/2017 19:37;372;26/06/2017 19:37;1014;26/06/2017 19:37;384;;26/06/2017 19:37;0,157655345;26/06/2017 19:37;0,158071453;26/06/2017 19:37;0,002642981;26/06/2017 19:37;0,153150404;0,156292401
26/06/2017 19:37;351;26/06/2017 19:37;383;26/06/2017 19:37;1023;26/06/2017 19:37;381;;26/06/2017 19:37;0,167078135;26/06/2017 19:37;0,153554577;26/06/2017 19:37;0,001273311;26/06/2017 19:37;0,154366097;0,158332936
26/06/2017 19:37;351;26/06/2017 19:37;400;26/06/2017 19:37;470;26/06/2017 19:37;378;;26/06/2017 19:37;0,167078135;26/06/2017 19:37;0,146822995;26/06/2017 19:37;0,121826432;26/06/2017 19:37;0,1555914;0,15649751
26/06/2017 19:37;355;26/06/2017 19:37;383;26/06/2017 19:37;409;26/06/2017 19:37;377;;26/06/2017 19:37;0,165321743;26/06/2017 19:37;0,153554577;26/06/2017 19:37;0,143374151;26/06/2017 19:37;0,156001996;0,158292772
26/06/2017 19:37;348;26/06/2017 19:37;384;26/06/2017 19:37;384;26/06/2017 19:38;377;;26/06/2017 19:37;0,168408616;26/06/2017 19:37;0,153150404;26/06/2017 19:37;0,153150404;26/06/2017 19:38;0,156001996;0,159187005
26/06/2017 19:37;347;26/06/2017 19:37;386;26/06/2017 19:37;375;26/06/2017 19:38;377;;26/06/2017 19:37;0,168854659;26/06/2017 19:37;0,152345208;26/06/2017 19:37;0,156826466;26/06/2017 19:38;0,156001996;0,159067288
26/06/2017 19:37;345;26/06/2017 19:37;380;26/06/2017 19:37;373;26/06/2017 19:38;377;;26/06/2017 19:37;0,169750615;26/06/2017 19:37;0,154773456;26/06/2017 19:37;0,157655345;26/06/2017 19:38;0,156001996;0,160175356
26/06/2017 19:37;345;26/06/2017 19:37;379;26/06/2017 19:38;372;26/06/2017 19:38;376;;26/06/2017 19:37;0,169750615;26/06/2017 19:37;0,155181888;26/06/2017 19:38;0,158071453;26/06/2017 19:38;0,156413683;0,160448729
26/06/2017 19:38;345;26/06/2017 19:37;376;26/06/2017 19:38;370;26/06/2017 19:38;376;;26/06/2017 19:38;0,169750615;26/06/2017 19:37;0,156413683;26/06/2017 19:38;0,158907034;26/06/2017 19:38;0,156413683;0,160859327
26/06/2017 19:38;347;26/06/2017 19:37;376;26/06/2017 19:38;370;26/06/2017 19:38;378;;26/06/2017 19:38;0,168854659;26/06/2017 19:37;0,156413683;26/06/2017 19:38;0,158907034;26/06/2017 19:38;0,1555914;0,160286581
